| time |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |  0  |       0 |       0 |       9 |       7 |       5 |       0 |
| 1    |  0  |      16 |       0 |       9 |       7 |       5 |       0 |
| 2    |  0  |      16 |       9 |       9 |       7 |       5 |       0 |
| 3    |  0  |      17 |       9 |       9 |       7 |       5 |       0 |
| 4    |  0  |      17 |      16 |       9 |       7 |       5 |       0 |
| 5    |  0  |      18 |      16 |       9 |       7 |       5 |       0 |
| 6    |  0  |      18 |      11 |       9 |       7 |       5 |       0 |
| 7    |  0  |      19 |      11 |       9 |       7 |       5 |       0 |
| 8    |  0  |      19 |      11 |       9 |       7 |       5 |      11 |
| 9    |  0  |       0 |      11 |       9 |       7 |       5 |      11 |
| 10   |  0  |       0 |      11 |       9 |       7 |       5 |      11 |
| 11   |  1  |       0 |      11 |       9 |       7 |       5 |       0 |
| 12   |  0  |      16 |      11 |       1 |       3 |       2 |       0 |
| 13   |  0  |      16 |       1 |       1 |       3 |       2 |       0 |
| 14   |  0  |      17 |       1 |       1 |       3 |       2 |       0 |
| 15   |  0  |      17 |       4 |       1 |       3 |       2 |       0 |
| 16   |  0  |      18 |       4 |       1 |       3 |       2 |       0 |
| 17   |  0  |      18 |       2 |       1 |       3 |       2 |       0 |
| 18   |  0  |      19 |       2 |       1 |       3 |       2 |       0 |
| 19   |  0  |      19 |       2 |       1 |       3 |       2 |       2 |
| 20   |  0  |       0 |       2 |       1 |       3 |       2 |       2 |
| 21   |  0  |       0 |       2 |       1 |       3 |       2 |       2 |
