| time |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |       3 |       5 |       0 |
| 1    |  0  |      16 |       0 |       3 |       5 |       0 |
| 2    |  0  |      16 |       3 |       3 |       5 |       0 |
| 3    |  0  |      17 |       3 |       3 |       5 |       0 |
| 4    |  0  |      17 |      -2 |       3 |       5 |       0 |
| 5    |  0  |      10 |      -2 |       3 |       5 |       0 |
| 6    |  0  |      10 |      -2 |       3 |       5 |       0 |
| 7    |  0  |      17 |      -2 |       3 |       5 |       0 |
| 8    |  0  |      17 |       5 |       3 |       5 |       0 |
| 9    |  0  |      16 |       5 |       3 |       5 |       0 |
| 10   |  0  |      16 |       2 |       3 |       5 |       0 |
| 11   |  0  |      18 |       2 |       3 |       5 |       0 |
| 12   |  0  |      18 |       2 |       3 |       5 |       2 |
| 13   |  0  |       0 |       2 |       3 |       5 |       2 |
| 14   |  0  |       0 |       2 |       3 |       5 |       2 |
| 15   |  0  |       0 |       2 |       3 |       5 |       2 |
| 16   |  1  |       0 |       2 |       7 |       4 |       0 |
| 17   |  0  |      16 |       2 |       7 |       4 |       0 |
| 18   |  0  |      16 |       7 |       7 |       4 |       0 |
| 19   |  0  |      17 |       7 |       7 |       4 |       0 |
| 20   |  0  |      17 |       3 |       7 |       4 |       0 |
| 21   |  0  |      10 |       3 |       7 |       4 |       0 |
| 22   |  0  |      10 |       3 |       7 |       4 |       0 |
| 23   |  0  |      18 |       3 |       7 |       4 |       0 |
| 24   |  0  |      18 |       3 |       7 |       4 |       3 |
| 25   |  0  |       0 |       3 |       7 |       4 |       3 |
| 26   |  0  |       0 |       3 |       7 |       4 |       3 |
| 27   |  0  |       0 |       3 |       7 |       4 |       3 |
| 28   |  0  |       0 |       3 |       7 |       4 |       3 |
